Destination,Address,Squarefoot,Rooms,Type,Property_ID,Facilities
Svalbard,Vei 217,150m2,4 herbergi,Einbýlishús,FS1,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS2,kjarnaofn. Gufubað. Lyftingasalur. Leikjaaðstaða. Billjardborð
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS3,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS4,
Svalbard nice,Longyearbyen Harbor 1,5000m2,80 herbergi,Einbýlishús nice,FS5,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS6,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS7,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS8,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS9,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS11,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS12,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS13,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS14,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS15,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS16,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS17,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS18,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS19,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS20,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS21,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS22,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS23,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS24,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS25,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS26,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS27,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS28,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS29,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS30,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS31,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS32,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS33,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS34,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS35,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS36,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS37,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS38,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS39,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS40,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS41,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS42,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS43,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS44,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS45,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS46,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS47,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS48,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS49,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS50,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS51,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS52,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS53,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS54,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS55,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS56,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS57,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS58,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS59,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS60,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS61,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS62,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS63,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS64,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS65,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS66,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS67,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS68,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS69,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS70,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS71,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS72,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS73,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS74,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS75,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS76,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS77,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS78,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS79,
Svalbard,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS80,
Greenland,iGloo-Ville:- 10 igloo,35fm2,1 herbergi,Snjóhús,FN1,
Greenland,iGloo-Ville:- 10 igloo,35fm2,1 herbergi,Snjóhús,FN2,
Greenland,iGloo-Ville:- 10 igloo,35fm2,1 herbergi,Snjóhús,FN3,
Greenland,iGloo-Ville:- 10 igloo,35fm2,1 herbergi,Snjóhús,FN4,
Greenland,iGloo-Ville:- 10 igloo,35fm2,1 herbergi,Snjóhús,FN5,
Greenland,iGloo-Ville:- 10 igloo,35fm2,1 herbergi,Snjóhús,FN6,
Greenland,iGloo-Ville:- 10 igloo,35fm2,1 herbergi,Snjóhús,FN7,
Greenland,iGloo-Ville:- 10 igloo,35fm2,1 herbergi,Snjóhús,FN8,
Greenland,iGloo-Ville:- 10 igloo,35fm2,1 herbergi,Snjóhús,FN9,
Greenland,iGloo-Ville:- 10 igloo,35fm2,1 herbergi,Snjóhús,FN10,
Greenland,Suloraq 42,69m2,2 herbergi,Fjölbíli,FN11,
Greenland,Igimaq 7,10m2,1 herbergi,Snjóhús,FN12,
Greenland,Nuussuaq 4,400m2,8  herbergi,Villa,FN13,
Faroe Islands,Skákið 15,100m2,3 herbergi,Raðhús,FF1,
Faroe Islands,Skákið 15,100m2,3 herbergi,Raðhús,FF2,
Faroe Islands,Skákið 15,100m2,3 herbergi,Raðhús,FF3,
Faroe Islands,Svalbarðsvegur 22,200m2,5 herbergi,Einbýlishús,FF4,
Faroe Islands,Nýggivegur 1,15m2,10 herbergi,Moldarhús,FF5,
Faroe Islands,Nýggivegur 1,15m2,10 herbergi,Moldarhús,FF6,
Faroe Islands,Nýggivegur 1,15m2,10 herbergi,Moldarhús,FF7,
Faroe Islands,Nýggivegur 1,15m2,10 herbergi,Moldarhús,FF8,
Faroe Islands,Nýggivegur 1,15m2,10 herbergi,Moldarhús,FF9,
Faroe Islands,Nýggivegur 1,15m2,10 herbergi,Moldarhús,FF10,
Faroe Islands,Nýggivegur 1,15m2,10 herbergi,Moldarhús,FF11,
Faroe Islands,Nýggivegur 1,15m2,10 herbergi,Moldarhús,FF12,
Faroe Islands,Nýggivegur 1,15m2,10 herbergi,Moldarhús,FF13,
Faroe Islands,Nýggivegur 1,15m2,10 herbergi,Moldarhús,FF14,
